date,ride_count
2020-11-17,6602
2020-11-18,7330
2020-11-19,9226
2020-11-20,9900
2020-11-21,7899
2020-11-22,5018
2020-11-23,6401
2020-11-24,2775
2020-11-25,3262
2020-11-26,3583
2020-11-27,5353
2020-11-28,7245
2020-11-29,5453
2020-11-30,3940
2020-12-01,4509
2020-12-02,5455
2020-12-03,5421
2020-12-04,6126
2020-12-05,6059
2020-12-06,4278
2020-12-07,4685
2020-12-08,4716
2020-12-09,6640
2020-12-10,7666
2020-12-11,3861
2020-12-12,2467
2020-12-13,4794
2020-12-14,4420
2020-12-15,4784
2020-12-16,3794
2020-12-17,4011
2020-12-18,5014
2020-12-19,5131
2020-12-20,4340
2020-12-21,4681
2020-12-22,4857
2020-12-23,4547
2020-12-24,1654
2020-12-25,864
2020-12-26,2409
2020-12-27,3498
2020-12-28,3657
2020-12-29,2655
2020-12-30,1850
2020-12-31,2730
2021-01-01,1068
2021-01-02,2275
2021-01-03,2383
2021-01-04,3209
2021-01-05,3845
2021-01-06,3884
2021-01-07,3880
2021-01-08,3867
2021-01-09,4961
2021-01-10,3303
2021-01-11,3382
2021-01-12,4186
2021-01-13,4449
2021-01-14,3618
2021-01-15,4148
2021-01-16,3302
2021-01-17,2546
2021-01-18,3600
2021-01-19,3154
2021-01-20,2713
2021-01-21,4202
2021-01-22,3132
2021-01-23,3565
2021-01-24,3018
2021-01-25,3032
2021-01-26,1266
2021-01-27,2256
2021-01-28,2616
2021-01-29,3268
2021-01-30,2220
2021-01-31,486
2021-02-01,1797
2021-02-02,2317
2021-02-03,2710
2021-02-04,1721
2021-02-05,1326
2021-02-06,859
2021-02-07,569
2021-02-08,928
2021-02-09,1288
2021-02-10,1245
2021-02-11,1368
2021-02-12,1843
2021-02-13,727
2021-02-14,498
2021-02-15,350
2021-02-16,284
2021-02-17,634
2021-02-18,799
2021-02-19,989
2021-02-20,1141
2021-02-21,905
2021-02-22,1515
2021-02-23,2846
2021-02-24,3147
2021-02-25,3185
2021-02-26,3932
2021-02-27,7287
2021-02-28,3412
2021-03-01,3467
2021-03-02,4085
2021-03-03,5720
2021-03-04,3991
2021-03-05,5440
2021-03-06,6904
2021-03-07,6484
2021-03-08,8952
2021-03-09,10409
2021-03-10,7397
2021-03-11,7622
2021-03-12,7224
2021-03-13,12664
2021-03-14,5350
2021-03-15,2212
2021-03-16,4253
2021-03-17,3742
2021-03-18,3726
2021-03-19,6702
2021-03-20,12832
2021-03-21,16342
2021-03-22,11167
2021-03-23,5345
2021-03-24,8275
2021-03-25,6127
2021-03-26,6291
2021-03-27,12852
2021-03-28,7451
2021-03-29,9027
2021-03-30,9908
2021-03-31,6535
2021-04-01,5635
2021-04-02,9313
2021-04-03,19646
2021-04-04,17180
2021-04-05,11424
2021-04-06,17313
2021-04-07,15605
2021-04-08,5397
2021-04-09,12459
2021-04-10,5532
2021-04-11,10987
2021-04-12,11144
2021-04-13,10161
2021-04-14,8337
2021-04-15,8708
2021-04-16,11177
2021-04-17,14101
2021-04-18,13319
2021-04-19,6763
2021-04-20,6486
2021-04-21,6591
2021-04-22,10827
2021-04-23,13462
2021-04-24,15106
2021-04-25,8867
2021-04-26,14430
2021-04-27,18266
2021-04-28,6812
2021-04-29,9869
2021-04-30,12313
2021-05-01,24401
2021-05-02,24799
2021-05-03,9803
2021-05-04,9327
2021-05-05,12602
2021-05-06,9574
2021-05-07,13499
2021-05-08,15241
2021-05-09,7333
2021-05-10,9367
2021-05-11,11099
2021-05-12,13436
2021-05-13,16592
2021-05-14,20480
2021-05-15,15523
2021-05-16,23552
2021-05-17,15219
2021-05-18,12671
2021-05-19,16068
2021-05-20,20540
