date,ride_count
2020-11-20,2031
2020-11-21,2318
2020-11-22,1390
2020-11-23,1385
2020-11-24,1636
2020-11-25,1489
2020-11-26,869
2020-11-27,1393
2020-11-28,1734
2020-11-29,1603
2020-11-30,644
2020-12-01,1349
2020-12-02,1300
2020-12-03,1418
2020-12-04,905
2020-12-05,1052
2020-12-06,1064
2020-12-07,1060
2020-12-08,1180
2020-12-09,1138
2020-12-10,1321
2020-12-11,1618
2020-12-12,1607
2020-12-13,1558
2020-12-14,647
2020-12-15,1219
2020-12-16,564
2020-12-17,268
2020-12-18,488
2020-12-19,443
2020-12-20,433
2020-12-21,814
2020-12-22,992
2020-12-23,1147
2020-12-24,750
2020-12-25,281
2020-12-26,556
2020-12-27,613
2020-12-28,1059
2020-12-29,846
2020-12-30,927
2020-12-31,757
2021-01-01,399
2021-01-02,1195
2021-01-03,463
2021-01-04,998
2021-01-05,1019
2021-01-06,1036
2021-01-07,1101
2021-01-08,1068
2021-01-09,1001
2021-01-10,1010
2021-01-11,1057
2021-01-12,1072
2021-01-13,1202
2021-01-14,1222
2021-01-15,1323
2021-01-16,1185
2021-01-17,999
2021-01-18,1136
2021-01-19,1179
2021-01-20,1001
2021-01-21,1187
2021-01-22,1295
2021-01-23,820
2021-01-24,748
2021-01-25,1053
2021-01-26,681
2021-01-27,1126
2021-01-28,929
2021-01-29,798
2021-01-30,850
2021-01-31,430
2021-02-01,102
2021-02-02,177
2021-02-03,473
2021-02-04,686
2021-02-05,873
2021-02-06,935
2021-02-07,354
2021-02-08,740
2021-02-09,794
2021-02-10,929
2021-02-11,580
2021-02-12,827
2021-02-13,490
2021-02-14,517
2021-02-15,733
2021-02-16,884
2021-02-17,927
2021-02-18,163
2021-02-19,311
2021-02-20,480
2021-02-21,525
2021-02-22,464
2021-02-23,850
2021-02-24,1158
2021-02-25,1131
2021-02-26,1249
2021-02-27,859
2021-02-28,344
2021-03-01,899
2021-03-02,900
2021-03-03,1392
2021-03-04,1194
2021-03-05,1052
2021-03-06,962
2021-03-07,954
2021-03-08,1128
2021-03-09,1758
2021-03-10,1863
2021-03-11,2354
2021-03-12,1946
2021-03-13,1726
2021-03-14,1440
2021-03-15,1100
2021-03-16,1050
2021-03-17,1406
2021-03-18,556
2021-03-19,1372
2021-03-20,2163
2021-03-21,2335
2021-03-22,1918
2021-03-23,1981
2021-03-24,666
2021-03-25,1753
2021-03-26,2384
2021-03-27,3243
2021-03-28,823
2021-03-29,1681
2021-03-30,2139
2021-03-31,1005
2021-04-01,1294
2021-04-02,1399
2021-04-03,1942
2021-04-04,2051
2021-04-05,2092
2021-04-06,2405
2021-04-07,2183
2021-04-08,2470
2021-04-09,2142
2021-04-10,3279
2021-04-11,1177
2021-04-12,1483
2021-04-13,2135
2021-04-14,1736
2021-04-15,2009
2021-04-16,1919
2021-04-17,2526
2021-04-18,2672
2021-04-19,2114
2021-04-20,2556
2021-04-21,1652
2021-04-22,1021
2021-04-23,1634
2021-04-24,2810
2021-04-25,1986
2021-04-26,2151
2021-04-27,2545
2021-04-28,2788
2021-04-29,1958
2021-04-30,2296
2021-05-01,2780
2021-05-02,3062
2021-05-03,1760
2021-05-04,2823
2021-05-05,1878
2021-05-06,2808
2021-05-07,2408
2021-05-08,2168
2021-05-09,1626
2021-05-10,2365
2021-05-11,2493
2021-05-12,2894
2021-05-13,3141
2021-05-14,3338
2021-05-15,3822
2021-05-16,3110
2021-05-17,2974
2021-05-18,3223
2021-05-19,3048
2021-05-20,3129
2021-05-21,3582
2021-05-22,3523
2021-05-23,2844
2021-05-24,2666
2021-05-25,3059
2021-05-26,2467
2021-05-27,3390
2021-05-28,1897
2021-05-29,946
2021-05-30,909
2021-05-31,3030
2021-06-01,2834
2021-06-02,3008
2021-06-03,2076
2021-06-04,2643
2021-06-05,3119
2021-06-06,2605
2021-06-07,2724
2021-06-08,2073
2021-06-09,2715
2021-06-10,3100
2021-06-11,2157
2021-06-12,3500
2021-06-13,3079
