date,ride_count
2020-02-15,3797
2020-02-16,5079
2020-02-17,6103
2020-02-18,7791
2020-02-19,7675
2020-02-20,6833
2020-02-21,5883
2020-02-22,6628
2020-02-23,7055
2020-02-24,7755
2020-02-25,5764
2020-02-26,7379
2020-02-27,6415
2020-02-28,6813
2020-02-29,4055
2020-03-01,5322
2020-03-02,7666
2020-03-03,7651
2020-03-04,9127
2020-03-05,8377
2020-03-06,6932
2020-03-07,6193
2020-03-08,7513
2020-03-09,9803
2020-03-10,8697
2020-03-11,8505
2020-03-12,7930
2020-03-13,7211
2020-03-14,6045
2020-03-15,3339
2020-03-16,3941
2020-03-17,3908
2020-03-18,3819
2020-03-19,4559
2020-03-20,4809
2020-03-21,5210
2020-03-22,4424
2020-03-23,1059
2020-03-24,2679
2020-03-25,940
2020-03-26,2815
2020-03-27,3192
2020-03-28,2293
2020-03-29,4171
2020-03-30,2901
2020-03-31,1499
2020-04-01,1763
2020-04-02,2080
2020-04-03,2486
2020-04-04,3152
2020-04-05,4437
2020-04-06,2864
2020-04-07,1967
2020-04-08,3195
2020-04-09,1905
2020-04-10,1600
2020-04-11,4059
2020-04-12,3243
2020-04-13,1730
2020-04-14,2084
2020-04-15,2283
2020-04-16,2078
2020-04-17,2174
2020-04-18,2632
2020-04-19,4683
2020-04-20,2319
2020-04-21,1905
2020-04-22,2717
2020-04-23,1272
2020-04-24,1828
2020-04-25,4712
2020-04-26,1833
2020-04-27,2045
2020-04-28,1683
2020-04-29,3743
2020-04-30,777
2020-05-01,2969
2020-05-02,9025
2020-05-03,3663
2020-05-04,3717
2020-05-05,2374
2020-05-06,1385
2020-05-07,3932
2020-05-08,1817
2020-05-09,2911
2020-05-10,5824
2020-05-11,2259
2020-05-12,3028
2020-05-13,4141
2020-05-14,3610
2020-05-15,5817
2020-05-16,9012
2020-05-17,5659
2020-05-18,2941
2020-05-19,3202
2020-05-20,3417
2020-05-21,3729
2020-05-22,3055
2020-05-23,9166
2020-05-24,6339
2020-05-25,8851
2020-05-26,4927
2020-05-27,4800
2020-05-28,3468
2020-05-29,5607
2020-05-30,10733
2020-05-31,7608
2020-06-01,5012
2020-06-02,5385
2020-06-03,6512
2020-06-04,5163
2020-06-05,5044
2020-06-06,15475
2020-06-07,10632
2020-06-08,7018
2020-06-09,6754
2020-06-10,5410
2020-06-11,4699
2020-06-12,7423
2020-06-13,12097
2020-06-14,10332
2020-06-15,6041
2020-06-16,6203
2020-06-17,2910
2020-06-18,5902
2020-06-19,7259
2020-06-20,6304
2020-06-21,9036
2020-06-22,4958
2020-06-23,6189
2020-06-24,7399
2020-06-25,6069
2020-06-26,8095
2020-06-27,9057
2020-06-28,8589
2020-06-29,6364
2020-06-30,6664
2020-07-01,6388
2020-07-02,7456
2020-07-03,8490
2020-07-04,11268
2020-07-05,7002
2020-07-06,4982
2020-07-07,5764
2020-07-08,6716
2020-07-09,6694
2020-07-10,7539
2020-07-11,10171
2020-07-12,8633
2020-07-13,6657
2020-07-14,7101
2020-07-15,7192
2020-07-16,7413
2020-07-17,7879
2020-07-18,9899
2020-07-19,7918
2020-07-20,5465
2020-07-21,5901
2020-07-22,4470
2020-07-23,6487
2020-07-24,7101
2020-07-25,11067
2020-07-26,8643
2020-07-27,6858
2020-07-28,7031
2020-07-29,7545
2020-07-30,6390
2020-07-31,6182
2020-08-01,10996
2020-08-02,9420
2020-08-03,4784
2020-08-04,5730
2020-08-05,8472
2020-08-06,6078
2020-08-07,8047
2020-08-08,12017
2020-08-09,9525
2020-08-10,6720
2020-08-11,7386
2020-08-12,6159
2020-08-13,5757
2020-08-14,8220
2020-08-15,9180
2020-08-16,7135
2020-08-17,6326
2020-08-18,8182
2020-08-19,7136
2020-08-20,8335
2020-08-21,8727
2020-08-22,10858
2020-08-23,10011
2020-08-24,6692
2020-08-25,6830
2020-08-26,8413
2020-08-27,8682
2020-08-28,10620
2020-08-29,8555
2020-08-30,12477
2020-08-31,4073
2020-09-01,7225
2020-09-02,7051
2020-09-03,5571
2020-09-04,8831
2020-09-05,12902
2020-09-06,12345
2020-09-07,10588
2020-09-08,7053
2020-09-09,4834
2020-09-10,4080
2020-09-11,8580
2020-09-12,10668
2020-09-13,10929
2020-09-14,7383
2020-09-15,7571
2020-09-16,7671
2020-09-17,4963
2020-09-18,9414
2020-09-19,12751
2020-09-20,10645
2020-09-21,7085
2020-09-22,7500
2020-09-23,8783
2020-09-24,8041
2020-09-25,6636
2020-09-26,10100
2020-09-27,9801
2020-09-28,7190
2020-09-29,6140
2020-09-30,7541
2020-10-01,6869
2020-10-02,8502
2020-10-03,12111
2020-10-04,9026
2020-10-05,6654
2020-10-06,7334
2020-10-07,8128
2020-10-08,7637
2020-10-09,8982
2020-10-10,11612
2020-10-11,5151
2020-10-12,3133
2020-10-13,6795
2020-10-14,7602
2020-10-15,7910
2020-10-16,5213
2020-10-17,11104
2020-10-18,9020
2020-10-19,6648
2020-10-20,7199
2020-10-21,7072
2020-10-22,7443
2020-10-23,8719
2020-10-24,11626
2020-10-25,3012
2020-10-26,5755
2020-10-27,6465
2020-10-28,7183
2020-10-29,2194
2020-10-30,6481
2020-10-31,7252
2020-11-01,3676
2020-11-02,4470
2020-11-03,6828
2020-11-04,5543
2020-11-05,6147
2020-11-06,7765
2020-11-07,14635
2020-11-08,9918
2020-11-09,6259
2020-11-10,7113
2020-11-11,2048
2020-11-12,3515
2020-11-13,7053
2020-11-14,9531
2020-11-15,5825
2020-11-16,5324
2020-11-17,4383
2020-11-18,4148
2020-11-19,4477
2020-11-20,6014
2020-11-21,7804
2020-11-22,5771
2020-11-23,3968
2020-11-24,4391
2020-11-25,4165
2020-11-26,4191
2020-11-27,5687
2020-11-28,6899
2020-11-29,5629
2020-11-30,2258
2020-12-01,3417
2020-12-02,3600
2020-12-03,4166
2020-12-04,3549
2020-12-05,4651
2020-12-06,4183
2020-12-07,3038
2020-12-08,3298
2020-12-09,3286
2020-12-10,3942
2020-12-11,5055
2020-12-12,7409
2020-12-13,6395
2020-12-14,1649
2020-12-15,4106
2020-12-16,1208
2020-12-17,2706
2020-12-18,3209
2020-12-19,3625
2020-12-20,3328
2020-12-21,3409
2020-12-22,3288
2020-12-23,3361
2020-12-24,1248
2020-12-25,1125
2020-12-26,1844
2020-12-27,2596
2020-12-28,3559
2020-12-29,3052
2020-12-30,3228
2020-12-31,3299
2021-01-01,961
2021-01-02,5718
2021-01-03,1628
2021-01-04,2981
2021-01-05,3061
2021-01-06,3112
2021-01-07,3310
2021-01-08,2987
2021-01-09,4072
2021-01-10,4001
2021-01-11,2871
2021-01-12,3644
2021-01-13,3883
2021-01-14,3797
2021-01-15,3334
2021-01-16,4691
2021-01-17,3745
2021-01-18,3441
2021-01-19,3370
2021-01-20,2622
2021-01-21,3529
2021-01-22,4036
2021-01-23,3482
2021-01-24,3309
2021-01-25,2390
2021-01-26,1997
2021-01-27,3528
2021-01-28,2667
2021-01-29,2870
2021-01-30,3998
2021-01-31,1035
2021-02-01,973
2021-02-02,1451
2021-02-03,2476
2021-02-04,3174
2021-02-05,4249
2021-02-06,5412
2021-02-07,2289
2021-02-08,2892
2021-02-09,3562
2021-02-10,2362
2021-02-11,2241
2021-02-12,3029
2021-02-13,885
2021-02-14,2364
2021-02-15,2720
2021-02-16,2849
2021-02-17,1949
2021-02-18,744
2021-02-19,2045
2021-02-20,2645
2021-02-21,2972
2021-02-22,1548
2021-02-23,3320
2021-02-24,5182
2021-02-25,4181
2021-02-26,3773
2021-02-27,5079
2021-02-28,1139
2021-03-01,2503
2021-03-02,3473
2021-03-03,4871
2021-03-04,3816
2021-03-05,3634
2021-03-06,5192
2021-03-07,4291
2021-03-08,3763
2021-03-09,5464
2021-03-10,6264
2021-03-11,7079
2021-03-12,6415
2021-03-13,8255
2021-03-14,6932
2021-03-15,3643
2021-03-16,3459
2021-03-17,4629
2021-03-18,2003
2021-03-19,4791
2021-03-20,8254
2021-03-21,8089
2021-03-22,5448
2021-03-23,5835
2021-03-24,1987
2021-03-25,5364
2021-03-26,8567
2021-03-27,13338
2021-03-28,4099
2021-03-29,6779
2021-03-30,9551
2021-03-31,3377
2021-04-01,4494
2021-04-02,5443
2021-04-03,10949
2021-04-04,11491
2021-04-05,7668
2021-04-06,7937
2021-04-07,7897
2021-04-08,7791
2021-04-09,5831
2021-04-10,11429
2021-04-11,9656
2021-04-12,5080
2021-04-13,6426
2021-04-14,3115
2021-04-15,7011
2021-04-16,6374
2021-04-17,9426
2021-04-18,8936
2021-04-19,5532
2021-04-20,7972
2021-04-21,5072
2021-04-22,4660
2021-04-23,7412
2021-04-24,7759
2021-04-25,7045
2021-04-26,6228
2021-04-27,7863
2021-04-28,7266
2021-04-29,6648
2021-04-30,6352
2021-05-01,10539
2021-05-02,9723
2021-05-03,5504
2021-05-04,5899
2021-05-05,6509
2021-05-06,7944
2021-05-07,5629
2021-05-08,8499
2021-05-09,7266
2021-05-10,7009
2021-05-11,7650
2021-05-12,7795
2021-05-13,8594
2021-05-14,9214
2021-05-15,12976
2021-05-16,8770
2021-05-17,8054
2021-05-18,8809
2021-05-19,9004
2021-05-20,8748
2021-05-21,10379
2021-05-22,12413
2021-05-23,10071
2021-05-24,4001
2021-05-25,8690
2021-05-26,7003
2021-05-27,8815
2021-05-28,6799
2021-05-29,3577
2021-05-30,7055
2021-05-31,11239
