date,ride_count
2020-11-16,5175
2020-11-17,5020
2020-11-18,3780
2020-11-19,4147
2020-11-20,6550
2020-11-21,7413
2020-11-22,3497
2020-11-23,2359
2020-11-24,4215
2020-11-25,4028
2020-11-26,1450
2020-11-27,4041
2020-11-28,4192
2020-11-29,4222
2020-11-30,2025
2020-12-01,4407
2020-12-02,3568
2020-12-03,3993
2020-12-04,4802
2020-12-05,592
2020-12-06,2707
2020-12-07,3038
2020-12-08,2995
2020-12-09,3168
2020-12-10,3681
2020-12-11,4187
2020-12-12,2024
2020-12-13,4650
2020-12-14,2341
2020-12-15,3036
2020-12-16,2414
2020-12-17,210
2020-12-18,1113
2020-12-19,1166
2020-12-20,1006
2020-12-21,1634
2020-12-22,1981
2020-12-23,1966
2020-12-24,1920
2020-12-25,385
2020-12-26,1493
2020-12-27,1502
2020-12-28,2344
2020-12-29,1784
2020-12-30,1863
2020-12-31,2032
2021-01-01,1894
2021-01-02,1720
2021-01-03,1485
2021-01-04,1923
2021-01-05,2028
2021-01-06,2296
2021-01-07,2550
2021-01-08,2598
2021-01-09,2541
2021-01-10,2473
2021-01-11,2455
2021-01-12,2790
2021-01-13,2913
2021-01-14,2231
2021-01-15,2983
2021-01-16,2318
2021-01-17,2793
2021-01-18,3197
2021-01-19,2908
2021-01-20,2860
2021-01-21,2610
2021-01-22,3257
2021-01-23,2723
2021-01-24,1692
2021-01-25,2613
2021-01-26,2539
2021-01-27,1330
2021-01-28,1775
2021-01-29,1371
2021-01-30,1362
2021-01-31,1577
2021-02-01,1387
2021-02-02,858
2021-02-03,2059
2021-02-04,2546
2021-02-05,2625
2021-02-06,3146
2021-02-07,1254
2021-02-08,1482
2021-02-09,1427
2021-02-10,2001
2021-02-11,2387
2021-02-12,2219
2021-02-13,2317
2021-02-14,2065
2021-02-15,1708
2021-02-16,1476
2021-02-17,2357
2021-02-18,2131
2021-02-19,985
2021-02-20,1696
2021-02-21,2215
2021-02-22,1834
2021-02-23,2677
2021-02-24,3480
2021-02-25,3292
2021-02-26,3479
2021-02-27,2025
2021-02-28,3319
2021-03-01,2498
2021-03-02,1841
2021-03-03,3236
2021-03-04,3219
2021-03-05,2774
2021-03-06,3122
2021-03-07,2960
2021-03-08,2932
2021-03-09,4327
2021-03-10,4259
2021-03-11,5681
2021-03-12,6491
2021-03-13,5099
2021-03-14,2975
2021-03-15,2006
2021-03-16,2965
2021-03-17,4413
2021-03-18,2926
2021-03-19,3558
2021-03-20,7010
2021-03-21,7879
2021-03-22,5142
2021-03-23,5555
2021-03-24,5454
2021-03-25,5562
2021-03-26,6438
2021-03-27,9726
2021-03-28,2748
2021-03-29,4034
2021-03-30,5594
2021-03-31,6622
2021-04-01,3383
2021-04-02,4477
2021-04-03,5958
2021-04-04,6214
2021-04-05,4597
2021-04-06,5698
2021-04-07,5950
2021-04-08,6440
2021-04-09,7825
2021-04-10,12517
2021-04-11,6407
2021-04-12,4613
2021-04-13,5884
2021-04-14,6488
2021-04-15,4949
2021-04-16,1170
2021-04-17,4335
2021-04-18,8230
2021-04-19,7568
2021-04-20,8934
2021-04-21,5380
2021-04-22,4638
2021-04-23,6605
2021-04-24,13839
2021-04-25,6115
2021-04-26,5898
2021-04-27,6999
2021-04-28,6740
2021-04-29,3467
2021-04-30,6498
2021-05-01,10075
2021-05-02,10623
2021-05-03,7060
2021-05-04,4402
2021-05-05,3929
2021-05-06,8570
2021-05-07,9085
2021-05-08,8390
2021-05-09,9666
2021-05-10,6553
2021-05-11,8513
2021-05-12,8529
2021-05-13,9352
2021-05-14,10836
2021-05-15,13935
2021-05-16,11355
2021-05-17,8948
2021-05-18,9867
2021-05-19,9966
2021-05-20,10199
2021-05-21,10963
2021-05-22,12135
2021-05-23,10881
2021-05-24,9007
2021-05-25,9339
2021-05-26,9631
2021-05-27,9636
2021-05-28,8847
2021-05-29,2243
2021-05-30,3167
2021-05-31,5191
